"PVWatts Hourly PV Performance Data"
"Requested Location","1712 kimberly dr, sunnyvale ca"
"Location","Lat, Lng: 37.33, -122.06"
"Latitude (DD)","37.33"
"Longitude (DD)","-122.06"
"Elevation (m)","88.400001525879"
"DC System Size (kW)","1"
"Module Type","Premium"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","18.4"
"Array Azimuth (deg)","0"
"System Losses (%)","0"
"DC to AC Size Ratio","1"
"Inverter Efficiency (%)","99"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7","1.2","0.1","0","7","0","0"
"1","1","1","0","0","7","1.1","0.1","0","7","0","0"
"1","1","2","0","0","7","1","0.1","0","7","0","0"
"1","1","3","0","0","7","1","0.1","0","7","0","0"
"1","1","4","0","0","7","1","0.1","0","7","0","0"
"1","1","5","0","0","7","1.1","0.1","0","7","0","0"
"1","1","6","0","0","6","1.2","0.1","0","6","0","0"
"1","1","7","0","0","7","1.2","0.1","0","0","0","0"
"1","1","8","476","55","9","1.8","0.1","41.561","10.202","39.188","34.081"
"1","1","9","667","79","10","2.4","0.1","107.702","12.48","76.483","71.184"
"1","1","10","507","134","11","2.6","0.1","178.939","15.224","150.303","144.624"
"1","1","11","94","214","11","2.7","0.1","201.198","15.871","193.988","188.085"
"1","1","12","12","180","11","2.6","0.1","165.971","15.114","162.561","156.819"
"1","1","13","844","76","11","2.4","0.1","200.339","15.754","154.759","149.058"
"1","1","14","108","155","11","2","0.1","140.168","14.863","132.657","127.069"
"1","1","15","0","45","10","1.3","0.1","42.841","11.391","40.823","35.708"
"1","1","16","57","28","9","0.9","0.1","24.393","9.816","18.386","13.386"
"1","1","17","0","0","9","0.9","0.1","0","9","0","0"
"1","1","18","0","0","8","0.9","0.1","0","8","0","0"
"1","1","19","0","0","8","0.9","0.1","0","8","0","0"
"1","1","20","0","0","8","0.9","0.1","0","8","0","0"
"1","1","21","0","0","8","0.9","0.1","0","8","0","0"
"1","1","22","0","0","8","0.9","0.1","0","8","0","0"
"1","1","23","0","0","8","1.1","0.1","0","8","0","0"
"1","2","0","0","0","9","1.2","0.1","0","9","0","0"
"1","2","1","0","0","9","1.2","0.1","0","9","0","0"
"1","2","2","0","0","8","1.2","0.1","0","8","0","0"
"1","2","3","0","0","8","1.3","0.1","0","8","0","0"
"1","2","4","0","0","8","1.5","0.1","0","8","0","0"
"1","2","5","0","0","9","1.8","0.1","0","9","0","0"
"1","2","6","0","0","9","1.9","0.1","0","9","0","0"
"1","2","7","0","0","9","1.9","0.1","0","0","0","0"
"1","2","8","66","68","9","2.1","0.1","56.362","10.534","53.822","48.64"
"1","2","9","0","9","9","2.4","0.1","8.55","9.221","7.699","2.754"
"1","2","10","31","168","9","2.7","0.1","150.618","12.664","147.986","142.319"
"1","2","11","18","182","9","2.8","0.1","168.391","13.027","166.119","160.359"
"1","2","12","5","169","9","2.7","0.1","155.539","12.789","153.626","147.93"
"1","2","13","0","111","9","2.5","0.1","104.085","11.632","102.246","96.815"
"1","2","14","0","13","9","2.2","0.1","12.356","9.331","11.288","6.324"
"1","2","15","0","18","8","1.7","0.1","17.103","8.508","15.878","10.891"
"1","2","16","0","23","8","1.4","0.1","21.774","8.651","16.87","11.877"
"1","2","17","0","0","8","1.3","0.1","0","8","0","0"
"1","2","18","0","0","8","1.3","0.1","0","8","0","0"
"1","2","19","0","0","8","1.4","0.1","0","8","0","0"
"1","2","20","0","0","8","1.5","0.1","0","8","0","0"
"1","2","21","0","0","7","1.5","0.1","0","7","0","0"
"1","2","22","0","0","7","1.2","0.1","0","7","0","0"
"1","2","23","0","0","7","1.1","0.1","0","7","0","0"
"1","3","0","0","0","7","1","0.1","0","7","0","0"
"1","3","1","0","0","7","0.9","0.1","0","7","0","0"
"1","3","2","0","0","7","0.9","0.1","0","7","0","0"
"1","3","3","0","0","7","0.9","0.1","0","7","0","0"
"1","3","4","0","0","7","0.9","0.1","0","7","0","0"
"1","3","5","0","0","7","0.7","0.1","0","7","0","0"
"1","3","6","0","0","7","0.7","0.1","0","7","0","0"
"1","3","7","0","0","7","0.7","0.1","0","0","0","0"
"1","3","8","325","57","8","0.9","0.1","42.387","9.514","40.134","35.022"
"1","3","9","355","113","9","1.2","0.1","113.67","12.608","96.26","90.859"
"1","3","10","849","69","9","1.3","0.1","179.89","14.291","133.792","128.198"
"1","3","11","97","216","10","1.3","0.1","203.726","16.56","195.915","190.001"
"1","3","12","154","225","11","1.1","0.1","217.497","18.324","205.767","199.803"
"1","3","13","372","177","11","0.9","0.1","207.712","18.226","184.922","179.066"
"1","3","14","325","141","11","1","0.1","150.004","16.057","130.778","125.2"
"1","3","15","648","55","10","0.9","0.1","51.538","11.702","38.454","33.35"
"1","3","16","323","28","8","0.9","0.1","22.164","8.754","17.554","12.558"
"1","3","17","0","0","8","1","0.1","0","8","0","0"
"1","3","18","0","0","7","1.1","0.1","0","7","0","0"
"1","3","19","0","0","7","1","0.1","0","7","0","0"
"1","3","20","0","0","6","0.9","0.1","0","6","0","0"
"1","3","21","0","0","6","0.7","0.1","0","6","0","0"
"1","3","22","0","0","6","0.5","0.1","0","6","0","0"
"1","3","23","0","0","6","0.4","0.1","0","6","0","0"
"1","4","0","0","0","6","0.3","0.1","0","6","0","0"
"1","4","1","0","0","7","0.3","0.1","0","7","0","0"
"1","4","2","0","0","7","0.5","0.1","0","7","0","0"
"1","4","3","0","0","7","0.6","0.1","0","7","0","0"
"1","4","4","0","0","7","0.6","0.1","0","7","0","0"
"1","4","5","0","0","7","0.6","0.1","0","7","0","0"
"1","4","6","0","0","7","0.5","0.1","0","7","0","0"
"1","4","7","0","0","7","0.5","0.1","0","0","0","0"
"1","4","8","263","61","8","0.9","0.1","45.547","9.627","43.246","38.118"
"1","4","9","17","120","9","1.5","0.1","109.452","12.391","107.35","101.892"
"1","4","10","129","186","10","1.8","0.1","174.209","15","165.581","159.824"
"1","4","11","40","200","11","1.9","0.1","181.083","16.127","175.98","170.169"
"1","4","12","0","52","11","1.9","0.1","49.536","12.407","46.982","41.835"
"1","4","13","0","62","11","1.5","0.1","59.075","12.83","56.494","51.298"
"1","4","14","0","15","10","0.9","0.1","14.259","10.512","13.037","8.064"
"1","4","15","0","9","9","0.5","0.1","8.546","9.342","7.671","2.726"
"1","4","16","279","31","8","0.6","0.1","25","8.929","20.29","15.28"
"1","4","17","0","0","7","1","0.1","0","7","0","0"
"1","4","18","0","0","7","1.1","0.1","0","7","0","0"
"1","4","19","0","0","7","1.2","0.1","0","7","0","0"
"1","4","20","0","0","7","1.1","0.1","0","7","0","0"
"1","4","21","0","0","7","1.1","0.1","0","7","0","0"
"1","4","22","0","0","7","1","0.1","0","7","0","0"
"1","4","23","0","0","7","1","0.1","0","7","0","0"
"1","5","0","0","0","7","1","0.1","0","7","0","0"
"1","5","1","0","0","8","1","0.1","0","8","0","0"
"1","5","2","0","0","8","1.1","0.1","0","8","0","0"
"1","5","3","0","0","7","1.1","0.1","0","7","0","0"
"1","5","4","0","0","7","1.1","0.1","0","7","0","0"
"1","5","5","0","0","7","1.2","0.1","0","7","0","0"
"1","5","6","0","0","7","1.4","0.1","0","7","0","0"
"1","5","7","0","0","8","1.7","0.1","0","0","0","0"
"1","5","8","0","47","9","2.2","0.1","44.119","10.178","41.796","36.676"
"1","5","9","0","52","10","2.4","0.1","49.515","11.278","47.647","42.496"
"1","5","10","0","56","11","2.4","0.1","53.34","12.375","51.005","45.837"
"1","5","11","0","111","12","2.3","0.1","104.467","14.741","101.164","95.738"
"1","5","12","15","185","12","2","0.1","171.08","16.754","166.514","160.752"
"1","5","13","0","23","12","1.5","0.1","21.883","12.678","20.081","15.072"
"1","5","14","0","30","11","1","0.1","28.538","11.998","26.712","21.669"
"1","5","15","54","99","10","0.5","0.1","85.946","13.428","82.466","77.136"
"1","5","16","265","33","10","0.4","0.1","26.858","11.064","22.035","17.016"
"1","5","17","0","0","10","0.4","0.1","0","10","0","0"
"1","5","18","0","0","10","0.4","0.1","0","10","0","0"
"1","5","19","0","0","9","0.4","0.1","0","9","0","0"
"1","5","20","0","0","9","0.5","0.1","0","9","0","0"
"1","5","21","0","0","9","0.6","0.1","0","9","0","0"
"1","5","22","0","0","9","0.5","0.1","0","9","0","0"
"1","5","23","0","0","8","0.4","0.1","0","8","0","0"
"1","6","0","0","0","8","0.3","0.1","0","8","0","0"
"1","6","1","0","0","8","0.2","0.1","0","8","0","0"
"1","6","2","0","0","8","0.3","0.1","0","8","0","0"
"1","6","3","0","0","7","0.6","0.1","0","7","0","0"
"1","6","4","0","0","7","1","0.1","0","7","0","0"
"1","6","5","0","0","6","1.3","0.1","0","6","0","0"
"1","6","6","0","0","6","1.3","0.1","0","6","0","0"
"1","6","7","0","0","6","1.2","0.1","0","0","0","0"
"1","6","8","551","47","7","1.2","0.1","34.154","8.131","32.198","27.127"
"1","6","9","747","64","9","1.3","0.1","108.139","12.054","72.494","67.216"
"1","6","10","846","70","11","1.1","0.1","183.93","16.7","136.935","131.325"
"1","6","11","887","72","12","1","0.1","235.128","19.681","187.601","181.73"
"1","6","12","466","179","12","1.1","0.1","236.345","19.804","209.138","203.156"
"1","6","13","306","191","13","1.1","0.1","209.548","19.971","188.995","183.117"
"1","6","14","803","66","12","1.1","0.1","145.319","16.386","100.858","95.434"
"1","6","15","677","54","11","0.9","0.1","59.829","12.934","42.395","37.271"
"1","6","16","377","28","9","0.9","0.1","21.699","9.751","17.99","12.992"
"1","6","17","0","0","8","1","0.1","0","8","0","0"
"1","6","18","0","0","8","1.1","0.1","0","8","0","0"
"1","6","19","0","0","8","1.2","0.1","0","8","0","0"
"1","6","20","0","0","8","1.5","0.1","0","8","0","0"
"1","6","21","0","0","8","1.9","0.1","0","8","0","0"
"1","6","22","0","0","8","2.4","0.1","0","8","0","0"
"1","6","23","0","0","8","2.9","0.1","0","8","0","0"
"1","7","0","0","0","8","3.5","0.1","0","8","0","0"
"1","7","1","0","0","7","4.3","0.1","0","7","0","0"
"1","7","2","0","0","6","4.8","0.1","0","6","0","0"
"1","7","3","0","0","6","5.2","0.1","0","6","0","0"
"1","7","4","0","0","7","5.8","0.1","0","7","0","0"
"1","7","5","0","0","7","6.2","0.1","0","7","0","0"
"1","7","6","0","0","7","6.6","0.1","0","7","0","0"
"1","7","7","0","0","8","6.9","0.1","0","0","0","0"
"1","7","8","0","16","9","6.8","0.1","15.199","9.214","13.827","8.85"
"1","7","9","213","130","11","6.4","0.1","121.479","12.748","110.342","104.869"
"1","7","10","75","184","12","5.9","0.1","170.053","14.63","164.399","158.647"
"1","7","11","26","192","13","5.3","0.1","178.673","15.975","174.281","168.479"
"1","7","12","0","97","13","4.5","0.1","92.03","14.7","88.604","83.242"
"1","7","13","0","18","12","4.8","0.1","17.123","12.304","15.565","10.579"
"1","7","14","0","28","11","5.7","0.1","26.633","11.425","24.911","19.877"
"1","7","15","0","17","10","5.2","0.1","16.152","10.273","14.86","9.878"
"1","7","16","0","4","9","4.1","0.1","3.794","9.072","2.959","0"
"1","7","17","0","0","9","3.5","0.1","0","9","0","0"
"1","7","18","0","0","9","3","0.1","0","9","0","0"
"1","7","19","0","0","9","2.3","0.1","0","9","0","0"
"1","7","20","0","0","9","2","0.1","0","9","0","0"
"1","7","21","0","0","9","2.1","0.1","0","9","0","0"
"1","7","22","0","0","9","2","0.1","0","9","0","0"
"1","7","23","0","0","10","2","0.1","0","10","0","0"
"1","8","0","0","0","10","2.5","0.1","0","10","0","0"
"1","8","1","0","0","9","2.6","0.1","0","9","0","0"
"1","8","2","0","0","9","2.4","0.1","0","9","0","0"
"1","8","3","0","0","8","2.3","0.1","0","8","0","0"
"1","8","4","0","0","8","2.1","0.1","0","8","0","0"
"1","8","5","0","0","7","1.7","0.1","0","7","0","0"
"1","8","6","0","0","7","1.8","0.1","0","7","0","0"
"1","8","7","0","0","8","2.4","0.1","0","0","0","0"
"1","8","8","0","11","9","3.4","0.1","10.445","9.226","9.347","4.393"
"1","8","9","0","31","10","4.1","0.1","29.485","10.577","27.853","22.804"
"1","8","10","417","155","11","4.9","0.1","187.298","14.165","164.352","158.601"
"1","8","11","342","201","12","5.4","0.1","232.178","15.744","213.844","207.838"
"1","8","12","0","129","12","5.6","0.1","120.574","13.94","117.597","112.086"
"1","8","13","434","170","12","5.5","0.1","213.379","15.365","189.904","184.021"
"1","8","14","52","157","12","5.2","0.1","142.122","14.392","137.598","131.985"
"1","8","15","0","15","11","4.4","0.1","14.25","11.267","12.983","8.011"
"1","8","16","362","31","10","3.5","0.11","24.283","10.505","20.638","15.626"
"1","8","17","0","0","10","2.9","0.11","0","10","0","0"
"1","8","18","0","0","10","2.7","0.11","0","10","0","0"
"1","8","19","0","0","10","2.7","0.11","0","10","0","0"
"1","8","20","0","0","10","2.5","0.11","0","10","0","0"
"1","8","21","0","0","9","1.9","0.11","0","9","0","0"
"1","8","22","0","0","9","1.4","0.11","0","9","0","0"
"1","8","23","0","0","8","1.2","0.11","0","8","0","0"
"1","9","0","0","0","8","1.2","0.11","0","8","0","0"
"1","9","1","0","0","8","1.2","0.11","0","8","0","0"
"1","9","2","0","0","8","1.2","0.11","0","8","0","0"
"1","9","3","0","0","8","1.3","0.11","0","8","0","0"
"1","9","4","0","0","8","1.3","0.11","0","8","0","0"
"1","9","5","0","0","7","1.3","0.11","0","7","0","0"
"1","9","6","0","0","7","1.2","0.11","0","7","0","0"
"1","9","7","0","0","8","1.1","0.11","0","0","0","0"
"1","9","8","71","68","10","1.4","0.11","56.453","11.785","53.669","48.487"
"1","9","9","0","20","11","1.8","0.11","19.017","11.553","17.553","12.557"
"1","9","10","31","171","12","1.9","0.11","153.958","16.364","149.242","143.569"
"1","9","11","521","163","13","1.8","0.11","234.021","19.556","204.336","198.379"
"1","9","12","260","223","13","1.8","0.11","236.049","19.738","218.608","212.578"
"1","9","13","298","196","13","1.8","0.11","214.798","19.099","195.444","189.533"
"1","9","14","192","163","12","1.6","0.11","160.315","16.77","147.404","141.741"
"1","9","15","11","95","11","1.1","0.11","85.936","13.927","83.179","77.846"
"1","9","16","0","21","10","0.8","0.11","19.979","10.718","17.01","12.016"
"1","9","17","0","0","10","0.9","0.11","0","10","0","0"
"1","9","18","0","0","10","0.9","0.11","0","10","0","0"
"1","9","19","0","0","10","0.9","0.11","0","10","0","0"
"1","9","20","0","0","9","0.9","0.11","0","9","0","0"
"1","9","21","0","0","9","1","0.11","0","9","0","0"
"1","9","22","0","0","8","1.1","0.11","0","8","0","0"
"1","9","23","0","0","8","1.1","0.11","0","8","0","0"
"1","10","0","0","0","8","1.1","0.11","0","8","0","0"
"1","10","1","0","0","8","1.1","0.11","0","8","0","0"
"1","10","2","0","0","8","1.1","0.11","0","8","0","0"
"1","10","3","0","0","8","1.1","0.11","0","8","0","0"
"1","10","4","0","0","8","1","0.11","0","8","0","0"
"1","10","5","0","0","8","0.9","0.11","0","8","0","0"
"1","10","6","0","0","8","0.9","0.11","0","8","0","0"
"1","10","7","0","0","9","0.9","0.11","0","0","0","0"
"1","10","8","13","65","10","1.3","0.11","58.615","11.897","55.811","50.618"
"1","10","9","0","89","11","2","0.11","82.962","13.314","80.803","75.482"
"1","10","10","13","160","12","2.7","0.11","147.422","15.592","143.968","138.322"
